NUTS 3, zkratka na RZ, nazev 1, nazev 2, zkratka CSU, krajske mesto, pocet obyvatel, rozloha, hustota, HDP, HDP na obyvatele
CZ010, A, Hlavní město Praha, Hlavní město Praha, PHA, Praha, 1309000, 496.10, 2360, 1193200000000, 937542
CZ020, S, Středočeský, Středočeský kraj, STČ, Praha, 1369000, 11014.97, 104, 552500000000, 414379
CZ031, C, Jihočeský, Jihočeský kraj, JHČ, České Budějovice, 642000, 10056.79, 62, 238600000000, 373833
CZ032, P, Plzeňský, Plzeňský kraj, PLK, Plzeň, 585000, 7560.93, 73, 243900000000, 422251
CZ041, K, Karlovarský, Karlovarský kraj, KVK, Karlovy Vary, 295000, 3314.46, 92, 89500000000, 300894
CZ042, U, Ústecký, Ústecký kraj, ULK, Ústí nad Labem, 821000, 5334.52, 154, 274300000000, 333521
CZ051, L, Liberecký, Liberecký kraj, LBK, Liberec, 442000, 3162.93, 135, 155100000000, 352313
CZ052, H, Královéhradecký, Královéhradecký kraj, HKK, Hradec Králové, 551000, 4758.54, 115, 221100000000, 401056
CZ053, E, Pardubický, Pardubický kraj, PAK, Pardubice, 520000, 4519.00, 112, 186200000000, 360372
CZ071, M, Olomoucký, Olomoucký kraj, OLK, Olomouc, 633000, 5266.57, 123, 219900000000, 346789
CZ080, T, Moravskoslezský, Moravskoslezský kraj, MSK, Ostrava, 1203000, 5426.83, 227, 466700000000, 385247
CZ064, B, Jihomoravský, Jihomoravský kraj, JHM, Brno, 1189000, 7187.70, 165, 513700000000, 436043
CZ072, Z, Zlínský, Zlínský kraj, ZLK, Zlín, 583000, 3963.55, 149, 228600000000, 391336
CZ063, J, Kraj Vysočina, Kraj Vysočina, VYS, Jihlava, 509000, 6795.56, 75, 190100000000, 373421